code,title,artist,url
9900001,Dai Zero Kan,10-FEET,https://www.youtube.com/watch?v=M8eJOxPzn-w
9900002,Kimi wa 1000％,1986 OMEGA TRIBE,https://www.youtube.com/watch?v=dtat3nB4PRA
9900003,Lovers,7!!,https://www.youtube.com/watch?v=vvnvgc3e-uw
9900004,Orange,7!!,https://www.youtube.com/watch?v=nHD_I2mKen4
9900005,"Tokubechu, Shite",=LOVE,https://www.youtube.com/watch?v=1_XplwL6whE
9900006,Wataridori,[Alexandros],https://www.youtube.com/watch?v=UQnj0oDeF0A
9900007,Atashi wa mondaisaku (I’m a Controversy),Ado,https://www.youtube.com/watch?v=eEUYcu_ie9k
9900008,Chocolat Cadabra,Ado,https://www.youtube.com/watch?v=mjylQh8uqvM
9900009,Elf,Ado,https://www.youtube.com/watch?v=iIm2GNQyf64
9900010,Fleeting Lullaby,Ado,https://www.youtube.com/watch?v=FkD1C_6K2Ik
9900011,Himawari,Ado,https://www.youtube.com/watch?v=cNacttzuSaI
9900012,Kaze no yukue (Where the Wind Blows),Ado,https://www.youtube.com/watch?v=6ri0JGcquVs
9900013,Odo,Ado,https://www.youtube.com/watch?v=oqgEllz0NEQ
9900014,RuLe,Ado,https://www.youtube.com/watch?v=AHRTTBy8LSM
9900015,Shinjidai (New Genesis),Ado,https://www.youtube.com/watch?v=JfVbRUa4hDM
9900016,Shou (Show),Ado,https://www.youtube.com/watch?v=bBgG1iH5sSY
9900017,Tot Musica,Ado,https://www.youtube.com/watch?v=m8FrL22JO4Y
9900018,Usseewa,Ado,https://www.youtube.com/watch?v=ys13dQFvjLs
9900019,Watashiwa saikyou (Uta from ONE PIECE FILM RED),Ado,https://www.youtube.com/watch?v=ZPtQsq0pmYw
9900020,1･2･3,After the Rain(Soraru×Mafumafu),https://www.youtube.com/watch?v=ThskdPpvH7c
9900021,Story,AI,https://www.youtube.com/watch?v=a1Xn_Ft4cfQ
9900022,Yumemiru Shojo Ja Irarenai (Bang! Bang! Bang! Bang!),Aikawa Nanase,https://www.youtube.com/watch?v=UT4Pj-Q-Fro
9900023,Boyfriend,aiko,https://www.youtube.com/watch?v=5sPqH5FrkqQ
9900024,Hanabi,aiko,https://www.youtube.com/watch?v=vSsrqkUzZuk
9900025,kabutomushi,aiko,https://www.youtube.com/watch?v=PrzKF5nM_Bk
9900026,KissHug,aiko,https://www.youtube.com/watch?v=hGHs6PEfB_M
9900027,Soushi Souai,aiko,https://www.youtube.com/watch?v=hLEMh3tbTAk
9900028,A World Where the Sun Never Rises (Taiyo ga noboranai sekai),Aimer,https://www.youtube.com/watch?v=5T64f3jLviY
9900029,Brave Shine,Aimer,https://www.youtube.com/watch?v=JHgMRN6j1uk
9900030,Zankyou Sanka,Aimer,https://www.youtube.com/watch?v=NhaGtxvdSbQ
9900031,Ai no hana,Aimyon,https://www.youtube.com/watch?v=9aVPp9c3QjI
9900032,Aiwo tsutaetai datoka,Aimyon,https://www.youtube.com/watch?v=3Y-G_L5HR0I
9900033,Anata Kaibou Junaika ～Shine～,Aimyon,https://www.youtube.com/watch?v=ya1nO6vlR8g
