code,artist,title,url,notes
9902620,,Você Beberia Ou Não Beberia? Zé Neto e Cristiano,https://www.youtube.com/watch?v=PBxDHbFyN1A,
9902621,1 Kilo,Deixe Me Ir,https://www.youtube.com/watch?v=StKImAKV9pI,
9902622,14 BIS,BOLA DE MEIA BOLA DE GUDE,https://www.youtube.com/watch?v=QowLg2LkKyY,Novo Arranjo
9902623,14 BIS,BOLA DE MEIA BOLA DE GUDE,https://www.youtube.com/watch?v=KNvnDSWNdN0,
9902624,14 BIS,CRIATURAS DA NOITE,https://www.youtube.com/watch?v=S1IdwS1ePPY,
9902625,14 BIS,ESPANHOLA,https://www.youtube.com/watch?v=qDnmQihGqkY,
9902626,14 BIS,ESPANHOLA,https://www.youtube.com/watch?v=W4npgTOq87E,
9902627,14 BIS,LINDA JUVENTUDE,https://www.youtube.com/watch?v=P-8ktebzwf0,Novo Arranjo
9902628,14 BIS,LINDA JUVENTUDE,https://www.youtube.com/watch?v=cK0u6yMcqH0,
9902629,14 BIS,LINDA JUVENTUDE,https://www.youtube.com/watch?v=pNnt1nb-umE,
9902630,14 BIS,NATURAL,https://www.youtube.com/watch?v=eaceRUGwUBU,
9902631,14 BIS,NOS BAILES DA VIDA,https://www.youtube.com/watch?v=0tcUDBa-PCQ,
9902632,14 BIS,PLANETA SONHO,https://www.youtube.com/watch?v=5mmYTG2ZskY,
9902633,14 BIS,PLANETA SONHO,https://www.youtube.com/watch?v=O-if8E6xfRg,
9902634,14 BIS,PLANETA SONHO,https://www.youtube.com/watch?v=LjOc9YJ_too,
9902635,14 BIS,TODO AZUL DO MAR,https://www.youtube.com/watch?v=SlZMqzJOcuA,
9902636,14 BIS,UMA VELHA CANÇÃO ROCK 'N ROLL,https://www.youtube.com/watch?v=ydXZKveUfsA,
9902637,6L6,DECLARAÇÃO,https://www.youtube.com/watch?v=wan7yfNxqr4,
9902638,6L6,EU ME LEMBRO,https://www.youtube.com/watch?v=7oa6TGPMIxo,
9902639,6L6,FINAL FELIZ,https://www.youtube.com/watch?v=RB6ryjTFt4g,
9902640,A COR DO SOM,MENINO DEUS,https://www.youtube.com/watch?v=fPmIpq3CgM0,
9902641,A HA,CRAYING IN THE RAIN,https://www.youtube.com/watch?v=KVRmurPEMtc,
9902642,A HA,HUNTING HIGH AND LOW,https://www.youtube.com/watch?v=q6-bRsag1rs,
9902643,A HA,STAY ON THESE ROADS,https://www.youtube.com/watch?v=zoAWQXXAcms,
9902644,A HA,TAKE ON ME,https://www.youtube.com/watch?v=xbyN3xRg47c,
9902645,A HA,YOU ARE THE ONE,https://www.youtube.com/watch?v=cUGdpvFLtdk,
9902646,A minha mãe,Fran e Felix,https://www.youtube.com/watch?v=8ZQavjPJyUc,
9902647,A VOZ CELESTE,ONTEM AO LUAR,https://www.youtube.com/watch?v=-j0t4959w_8,
9902648,ABBA,DANCING QUEEN,https://www.youtube.com/watch?v=99_QwKCeZmc,
9902649,ABBA,DANCING QUEEN,https://www.youtube.com/watch?v=WhSP6vUQXpA,
9902650,ABBA,FERNANDO,https://www.youtube.com/watch?v=0HJKK8Fundk,
9902651,ABBA,THE WINNER TAKES IT ALL,https://www.youtube.com/watch?v=4xujaakIotg,
